1 16
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -2.358345e+00, e+1: -1.026422e+00, T: 7.4928e-01, no:       0, try:     60000000
emin+1: -7.425468e-03, e+1: -7.404924e-03, T: 1.0000e-06, no:       2, try:   7620000000
emin+1: -7.426545e-03, e+1: -7.410937e-03, T: 7.4928e-07, no:      13, try:   7747000000
emin+1: -7.428624e-03, e+1: -7.415428e-03, T: 6.3096e-07, no:      33, try:   7874000000
emin+1: -7.430249e-03, e+1: -7.419727e-03, T: 4.7276e-07, no:      40, try:   8001000000
emin+1: -7.430613e-03, e+1: -7.422864e-03, T: 3.9811e-07, no:      36, try:   8128000000
emin+1: -7.431744e-03, e+1: -7.425260e-03, T: 2.9829e-07, no:       8, try:   8255000000
emin+1: -7.432132e-03, e+1: -7.427124e-03, T: 2.5119e-07, no:      13, try:   8382000000
emin+1: -7.432377e-03, e+1: -7.428794e-03, T: 1.8821e-07, no:       7, try:   8509000000
emin+1: -7.432909e-03, e+1: -7.429914e-03, T: 1.5849e-07, no:     205, try:   8636000000
emin+1: -7.433380e-03, e+1: -7.431097e-03, T: 1.1875e-07, no:     162, try:   8763000000
emin+1: -7.433773e-03, e+1: -7.431742e-03, T: 1.0000e-07, no:       0, try:   8890000000
emin+1: -7.433913e-03, e+1: -7.432403e-03, T: 7.4928e-08, no:      48, try:   9017000000
emin+1: -7.433961e-03, e+1: -7.432881e-03, T: 6.3096e-08, no:      87, try:   9144000000
emin+1: -7.434181e-03, e+1: -7.433180e-03, T: 4.7276e-08, no:      26, try:   9271000000
emin+1: -7.434314e-03, e+1: -7.433566e-03, T: 3.9811e-08, no:      42, try:   9398000000
emin+1: -7.434367e-03, e+1: -7.433802e-03, T: 2.9829e-08, no:      40, try:   9525000000
emin+1: -7.434462e-03, e+1: -7.433985e-03, T: 2.5119e-08, no:      10, try:   9652000000
emin+1: -7.434552e-03, e+1: -7.434173e-03, T: 1.8821e-08, no:      59, try:   9779000000
emin+1: -7.434552e-03, e+1: -7.434287e-03, T: 1.5849e-08, no:       4, try:   9906000000
emin+1: -7.434609e-03, e+1: -7.434371e-03, T: 1.1875e-08, no:     214, try:  10033000000
emin+1: -7.434620e-03, e+1: -7.434452e-03, T: 1.0000e-08, no:       9, try:  10160000000
emin+1: -7.434647e-03, e+1: -7.434519e-03, T: 7.4928e-09, no:      53, try:  10287000000
emin+1: -7.434703e-03, e+1: -7.434570e-03, T: 6.3096e-09, no:      69, try:  10414000000
emin+1: -7.434703e-03, e+1: -7.434606e-03, T: 4.7276e-09, no:      55, try:  10541000000
emin+1: -7.434705e-03, e+1: -7.434633e-03, T: 3.9811e-09, no:     163, try:  10668000000
emin+1: -7.434709e-03, e+1: -7.434652e-03, T: 2.9829e-09, no:      41, try:  10795000000
emin+1: -7.434727e-03, e+1: -7.434678e-03, T: 2.5119e-09, no:      86, try:  10922000000
emin+1: -7.434731e-03, e+1: -7.434695e-03, T: 1.8821e-09, no:     269, try:  11049000000
emin+1: -7.434739e-03, e+1: -7.434712e-03, T: 1.5849e-09, no:     252, try:  11176000000
emin+1: -7.434739e-03, e+1: -7.434717e-03, T: 1.1875e-09, no:     497, try:  11303000000
emin+1: -7.434742e-03, e+1: -7.434727e-03, T: 1.0000e-09, no:     439, try:  11430000000
emin+1: -7.434747e-03, e+1: -7.434734e-03, T: 7.4928e-10, no:     181, try:  11557000000
emin+1: -7.434750e-03, e+1: -7.434738e-03, T: 6.3096e-10, no:     470, try:  11684000000
emin+1: -7.434751e-03, e+1: -7.434740e-03, T: 4.7276e-10, no:      26, try:  11811000000
emin+1: -7.434751e-03, e+1: -7.434745e-03, T: 3.9811e-10, no:      33, try:  11938000000
emin+1: -7.434752e-03, e+1: -7.434747e-03, T: 2.9829e-10, no:    1907, try:  12065000000
emin+1: -7.434753e-03, e+1: -7.434749e-03, T: 2.5119e-10, no:     191, try:  12192000000
emin+1: -7.434754e-03, e+1: -7.434751e-03, T: 1.8821e-10, no:     287, try:  12319000000
emin+1: -7.434754e-03, e+1: -7.434752e-03, T: 1.5849e-10, no:     225, try:  12446000000
emin+1: -7.434755e-03, e+1: -7.434753e-03, T: 1.1875e-10, no:     416, try:  12573000000
emin+1: -7.434755e-03, e+1: -7.434754e-03, T: 1.0000e-10, no:     540, try:  12700000000
emin+1: -7.434756e-03, e+1: -7.434755e-03, T: 7.4928e-11, no:     881, try:  12827000000
