3 5
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -1.544599e-02, e+1:  3.088531e-01, T: 7.4928e-01, no:       7, try:      3100000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 1.0000e-16, no:    2653, try:    496000000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 7.4928e-17, no:     240, try:    499100000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 6.3096e-17, no:    1073, try:    502200000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 4.7276e-17, no:    3471, try:    505300000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 3.9811e-17, no:     866, try:    508400000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 2.9829e-17, no:     954, try:    511500000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 2.5119e-17, no:    1251, try:    514600000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 1.8821e-17, no:    2351, try:    517700000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 1.5849e-17, no:     921, try:    520800000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 1.1875e-17, no:     640, try:    523900000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 1.0000e-17, no:    1827, try:    527000000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 7.4928e-18, no:     232, try:    530100000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 6.3096e-18, no:     218, try:    533200000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 4.7276e-18, no:     743, try:    536300000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 3.9811e-18, no:     162, try:    539400000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 2.9829e-18, no:     667, try:    542500000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 2.5119e-18, no:     168, try:    545600000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 1.8821e-18, no:     346, try:    548700000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 1.5849e-18, no:     170, try:    551800000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 1.1875e-18, no:      21, try:    554900000
emin+1: -9.637632e-02, e+1: -9.637632e-02, T: 1.0000e-18, no:     556, try:    558000000

Last chain: -1.096376317175226802335015475e+00
Best chain: -1.096376317175226802443435692e+00 (-1.096376317175226802443435692e+00)

Error: length:  0.000000000000000000000000000e+00, angle:  0.000000000000000000000000000e+00


Last chain: -1.096376317175226802335015475e+00
Best chain: -1.096376317175226802443435692e+00 (-1.096376317175226802443435692e+00)

Error: length:  0.000000000000000000000000000e+00, angle:  0.000000000000000000000000000e+00


3 6
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -1.066779e-01, e+1:  2.775687e-01, T: 7.4928e-01, no:       0, try:      4500000
emin+1: -1.257570e-01, e+1:  2.767987e-01, T: 6.3096e-01, no:       0, try:      9000000
emin+1: -1.257570e-01, e+1:  2.742014e-01, T: 4.7276e-01, no:       2, try:     13500000
emin+1: -1.257570e-01, e+1:  2.719912e-01, T: 3.9811e-01, no:       2, try:     18000000
emin+1: -1.257570e-01, e+1:  2.687166e-01, T: 2.9829e-01, no:       4, try:     22500000
emin+1: -1.432145e-01, e+1:  2.649017e-01, T: 2.5119e-01, no:       0, try:     27000000
emin+1: -1.432145e-01, e+1:  2.604797e-01, T: 1.8821e-01, no:       0, try:     31500000
emin+1: -1.432145e-01, e+1:  2.543606e-01, T: 1.5849e-01, no:       1, try:     36000000
emin+1: -1.432145e-01, e+1:  2.446421e-01, T: 1.1875e-01, no:       1, try:     40500000
emin+1: -1.432145e-01, e+1:  2.347183e-01, T: 1.0000e-01, no:       1, try:     45000000
emin+1: -1.432145e-01, e+1:  2.174382e-01, T: 7.4928e-02, no:       0, try:     49500000
emin+1: -1.987013e-01, e+1:  1.957269e-01, T: 6.3096e-02, no:       1, try:     54000000
