4 6
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1:  0.000000e+00, e+1:  4.107927e-01, T: 7.4928e-01, no:       2, try:      6800000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.9829e-16, no:     386, try:   1054000000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.5119e-16, no:    3010, try:   1060800000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.8821e-16, no:    2057, try:   1067600000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.5849e-16, no:    2830, try:   1074400000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.1875e-16, no:    3650, try:   1081200000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.0000e-16, no:    3605, try:   1088000000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 7.4928e-17, no:    2202, try:   1094800000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 6.3096e-17, no:     891, try:   1101600000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 4.7276e-17, no:    1470, try:   1108400000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 3.9811e-17, no:    1155, try:   1115200000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.9829e-17, no:    1366, try:   1122000000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.5119e-17, no:     375, try:   1128800000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.8821e-17, no:     582, try:   1135600000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.5849e-17, no:     935, try:   1142400000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.1875e-17, no:    2478, try:   1149200000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.0000e-17, no:     705, try:   1156000000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 7.4928e-18, no:      13, try:   1162800000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 6.3096e-18, no:     433, try:   1169600000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 4.7276e-18, no:     361, try:   1176400000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 3.9811e-18, no:     458, try:   1183200000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.9829e-18, no:       0, try:   1190000000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.5119e-18, no:    1384, try:   1196800000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.8821e-18, no:     158, try:   1203600000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.5849e-18, no:     847, try:   1210400000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.1875e-18, no:     145, try:   1217200000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.0000e-18, no:     398, try:   1224000000

Last chain: -1.060660171777053333496895760e+00
Best chain: -1.060660171777053333713736194e+00 (-1.060660171777053333713736194e+00)

Error: length:  0.000000000000000000000000000e+00, angle:  0.000000000000000000000000000e+00


Last chain: -1.060660171777053333496895760e+00
Best chain: -1.060660171777053333713736194e+00 (-1.060660171777053333713736194e+00)

Error: length:  0.000000000000000000000000000e+00, angle:  0.000000000000000000000000000e+00


4 7
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1:  0.000000e+00, e+1:  3.882526e-01, T: 7.4928e-01, no:       1, try:      8500000
