1 2
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.8821e-09, no:     548, try:     43500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.5849e-09, no:   22944, try:     44000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.1875e-09, no:    3975, try:     44500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.0000e-09, no:   18972, try:     45000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 7.4928e-10, no:   21479, try:     45500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 6.3096e-10, no:   38690, try:     46000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 4.7276e-10, no:   28577, try:     46500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 3.9811e-10, no:   20245, try:     47000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 2.9829e-10, no:   30844, try:     47500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 2.5119e-10, no:   35168, try:     48000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.8821e-10, no:    2953, try:     48500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.5849e-10, no:    1128, try:     49000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.1875e-10, no:   23761, try:     49500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.0000e-10, no:    4846, try:     50000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 7.4928e-11, no:    5313, try:     50500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 6.3096e-11, no:   47489, try:     51000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 4.7276e-11, no:   41321, try:     51500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 3.9811e-11, no:  136676, try:     52000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 2.9829e-11, no:  164667, try:     52500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 2.5119e-11, no:   66240, try:     53000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.8821e-11, no:  267946, try:     53500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.5849e-11, no:    8592, try:     54000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 1.1875e-11, no:   73597, try:     54500000
