2 3
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -3.545621e-01, e+1:  2.883932e-02, T: 4.7276e-02, no:       0, try:     26325000
emin+1: -3.545621e-01, e+1: -9.661413e-03, T: 3.9811e-02, no:       1, try:     28350000
emin+1: -4.005816e-01, e+1: -5.824929e-02, T: 2.9829e-02, no:      11, try:     30375000
emin+1: -4.402411e-01, e+1: -1.047453e-01, T: 2.5119e-02, no:       0, try:     32400000
emin+1: -4.750580e-01, e+1: -1.752226e-01, T: 1.8821e-02, no:       0, try:     34425000
emin+1: -5.305107e-01, e+1: -2.592289e-01, T: 1.5849e-02, no:       0, try:     36450000
emin+1: -6.267029e-01, e+1: -3.390317e-01, T: 1.1875e-02, no:       0, try:     38475000
emin+1: -6.705034e-01, e+1: -4.345235e-01, T: 1.0000e-02, no:       1, try:     40500000
emin+1: -6.790462e-01, e+1: -5.312264e-01, T: 7.4928e-03, no:       4, try:     42525000
emin+1: -7.003479e-01, e+1: -5.870207e-01, T: 6.3096e-03, no:       0, try:     44550000
emin+1: -7.114785e-01, e+1: -6.249240e-01, T: 4.7276e-03, no:       2, try:     46575000
emin+1: -7.165988e-01, e+1: -6.532150e-01, T: 3.9811e-03, no:       0, try:     48600000
emin+1: -7.208622e-01, e+1: -6.735757e-01, T: 2.9829e-03, no:       0, try:     50625000
emin+1: -7.233336e-01, e+1: -6.877199e-01, T: 2.5119e-03, no:       3, try:     52650000
emin+1: -7.273550e-01, e+1: -6.988516e-01, T: 1.8821e-03, no:       5, try:     54675000
emin+1: -7.288749e-01, e+1: -7.072418e-01, T: 1.5849e-03, no:       1, try:     56700000
emin+1: -7.305539e-01, e+1: -7.138295e-01, T: 1.1875e-03, no:       2, try:     58725000
emin+1: -7.323932e-01, e+1: -7.185180e-01, T: 1.0000e-03, no:       1, try:     60750000
emin+1: -7.344937e-01, e+1: -7.222224e-01, T: 7.4928e-04, no:       5, try:     62775000
emin+1: -7.344937e-01, e+1: -7.251458e-01, T: 6.3096e-04, no:       4, try:     64800000
emin+1: -7.358332e-01, e+1: -7.280669e-01, T: 4.7276e-04, no:       0, try:     66825000
emin+1: -7.376975e-01, e+1: -7.297689e-01, T: 3.9811e-04, no:      10, try:     68850000
emin+1: -7.387277e-01, e+1: -7.325187e-01, T: 2.9829e-04, no:       9, try:     70875000
emin+1: -7.387277e-01, e+1: -7.341892e-01, T: 2.5119e-04, no:       5, try:     72900000
emin+1: -7.395787e-01, e+1: -7.354232e-01, T: 1.8821e-04, no:       1, try:     74925000
emin+1: -7.397729e-01, e+1: -7.365074e-01, T: 1.5849e-04, no:       0, try:     76950000
emin+1: -7.404512e-01, e+1: -7.383338e-01, T: 1.1875e-04, no:       2, try:     78975000
