3 16
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -5.432978e-01, e+1: -3.719225e+00, T: 7.4928e-01, no:       1, try:  10800000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 2.5119e-11, no:   18128, try: 1144800000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.8821e-11, no:   23209, try: 1155600000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.5849e-11, no:    7323, try: 1166400000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.1875e-11, no:   23518, try: 1177200000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.0000e-11, no:    3835, try: 1188000000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 7.4928e-12, no:    4093, try: 1198800000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 6.3096e-12, no:    8391, try: 1209600000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 4.7276e-12, no:    8606, try: 1220400000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 3.9811e-12, no:   41470, try: 1231200000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 2.9829e-12, no:    8282, try: 1242000000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 2.5119e-12, no:    3918, try: 1252800000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.8821e-12, no:    2288, try: 1263600000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.5849e-12, no:  167836, try: 1274400000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.1875e-12, no:   15217, try: 1285200000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.0000e-12, no:  156435, try: 1296000000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 7.4928e-13, no:    9445, try: 1306800000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 6.3096e-13, no:   10220, try: 1317600000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 4.7276e-13, no:   98473, try: 1328400000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 3.9811e-13, no:     323, try: 1339200000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 2.9829e-13, no:   37240, try: 1350000000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 2.5119e-13, no:    5358, try: 1360800000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.8821e-13, no:   58235, try: 1371600000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.5849e-13, no:    4298, try: 1382400000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.1875e-13, no:  111445, try: 1393200000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.0000e-13, no:    5435, try: 1404000000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 7.4928e-14, no:   13922, try: 1414800000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 6.3096e-14, no:    7656, try: 1425600000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 4.7276e-14, no:  158367, try: 1436400000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 3.9811e-14, no:  416754, try: 1447200000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 2.9829e-14, no:  110181, try: 1458000000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 2.5119e-14, no:   59607, try: 1468800000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.8821e-14, no:  350959, try: 1479600000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.5849e-14, no:  133184, try: 1490400000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.1875e-14, no:  949476, try: 1501200000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.0000e-14, no:   93042, try: 1512000000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 7.4928e-15, no:  751991, try: 1522800000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 6.3096e-15, no:  234179, try: 1533600000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 4.7276e-15, no: 1260402, try: 1544400000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 3.9811e-15, no:  146581, try: 1555200000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 2.9829e-15, no: 2517729, try: 1566000000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 2.5119e-15, no:  646128, try: 1576800000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.8821e-15, no:  266018, try: 1587600000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.5849e-15, no:   93765, try: 1598400000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.1875e-15, no:  515467, try: 1609200000000
emin+1: -1.243517e+00, e+1: -1.243517e+00, T: 1.0000e-15, no: 2932258, try: 1620000000000

Last chain: -2.243517428705215629352112683e+00
Best chain: -2.243517428705225803071618418e+00 (-2.243517428705225803071618418e+00)

