2 3
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 6.3096e-12, no:     274, try:       672000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 4.7276e-12, no:      22, try:       678000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 3.9811e-12, no:      33, try:       684000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 2.9829e-12, no:      97, try:       690000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 2.5119e-12, no:       6, try:       696000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.8821e-12, no:     102, try:       702000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.5849e-12, no:      31, try:       708000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.1875e-12, no:      78, try:       714000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.0000e-12, no:       0, try:       720000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 7.4928e-13, no:      12, try:       726000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 6.3096e-13, no:       5, try:       732000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 4.7276e-13, no:      51, try:       738000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 3.9811e-13, no:      15, try:       744000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 2.9829e-13, no:      13, try:       750000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 2.5119e-13, no:       0, try:       756000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.8821e-13, no:       0, try:       762000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.5849e-13, no:       3, try:       768000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.1875e-13, no:       8, try:       774000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.0000e-13, no:       0, try:       780000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 7.4928e-14, no:       4, try:       786000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 6.3096e-14, no:       7, try:       792000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 4.7276e-14, no:       1, try:       798000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 3.9811e-14, no:       0, try:       804000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 2.9829e-14, no:       1, try:       810000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 2.5119e-14, no:       2, try:       816000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.8821e-14, no:       2, try:       822000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.5849e-14, no:       2, try:       828000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.1875e-14, no:       8, try:       834000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.0000e-14, no:       7, try:       840000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 7.4928e-15, no:       7, try:       846000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 6.3096e-15, no:       0, try:       852000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 4.7276e-15, no:       6, try:       858000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 3.9811e-15, no:       2, try:       864000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 2.9829e-15, no:      16, try:       870000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 2.5119e-15, no:      10, try:       876000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.8821e-15, no:       3, try:       882000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.5849e-15, no:      32, try:       888000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.1875e-15, no:       2, try:       894000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.0000e-15, no:       7, try:       900000

